id_ps,ps,level,faculty,year,current_students,next_year_students,current_students_lag1
31103,Magister Teknik Sistem,S-2,Teknik,2020,29.0,24.0,35.0
41133,Magister Teknologi Hasil Perkebunan,S-2,Teknologi Pertanian,2020,6.0,8.0,5.0
41111,Magister Teknologi Industri Pertanian,S-2,Teknologi Pertanian,2020,6.0,13.0,8.0
59101,Magister Teknologi informasi,S-2,Teknik,2020,55.0,61.0,61.0
82001,Doktor Antropologi,S-3,Ilmu Budaya,2021,3.0,5.0,4.0
23001,Doktor Arsitektur,S-3,Teknik,2021,6.0,17.0,10.0
46001,Doktor Biologi,S-3,Biologi,2021,19.0,26.0,10.0
46002,Doktor Bioteknologi,S-3,Pascasarjana,2021,11.0,14.0,3.0
75001,Doktor Filsafat,S-3,Filsafat,2021,14.0,13.0,8.0
45001,Doktor Fisika,S-3,MIPA,2021,17.0,27.0,5.0
63002,Doktor Ilmu Administrasi Publik,S-3,ISIPOL,2021,7.0,0.0,5.0
62001,Doktor Ilmu Akuntansi,S-3,Ekonomika dan Bisnis,2021,8.0,12.0,12.0
